stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id
VAU1D,0,Dorion,45.3863907208218,-74.0082543463005,5
TVA1D,0,Pincourt / Terrasse-Vaudreuil,45.3871716083424,-73.9922728170067,4
LIP1D,0,Île-Perrot,45.3959228309534,-73.9654246607855,4
SAB1D,0,Sainte-Anne-de-Bellevue,45.4076060412765,-73.9512126079595,3
BUR1D,0,Baie-d'Urfé,45.4199073950824,-73.9155583909618,3
BEA1D,0,Beaurepaire,45.4273946742413,-73.8872557173005,3
BEA2D,0,Beaconsfield,45.4349736654937,-73.847391976023,3
PCL1D,0,Cedar Park,45.442414831553,-73.8198778299671,2
PCL2D,0,Pointe-Claire,45.4472468978668,-73.8034394320935,2
PCL3D,0,Valois,45.4497451835371,-73.7908728809287,2
DVL1D,0,Pine Beach,45.4495938997837,-73.7642548484703,2
DVL2D,0,Dorval,45.4491999376701,-73.7431076525197,2
LCH1D,0,Lachine,45.4486782577965,-73.7113237489741,1
MTL1A,0,Montréal-Ouest,45.4536719903492,-73.6417387653488,1
MTL2A,0,Vendôme,45.4737620423281,-73.6030995911778,1
MTL3A,0,Lucien-L'Allier,45.4947620353203,-73.570805750666,1
MTL3C,0,Lucien-L'Allier,45.4947620353203,-73.570805750666,1
MTL2C,0,Vendôme,45.4737620423281,-73.6030995911778,1
MTL1C,0,Montréal-Ouest,45.4536719903492,-73.6417387653488,1
LCH1B,0,Lachine,45.4486782577965,-73.7113237489741,1
DVL2B,0,Dorval,45.4491999376701,-73.7431076525197,2
DVL1B,0,Pine Beach,45.4495938997837,-73.7642548484703,2
PCL3B,0,Valois,45.4497451835371,-73.7908728809287,2
PCL2B,0,Pointe-Claire,45.4472468978668,-73.8034394320935,2
PCL1B,0,Cedar Park,45.442414831553,-73.8198778299671,2
BEA2B,0,Beaconsfield,45.4349736654937,-73.847391976023,3
BEA1B,0,Beaurepaire,45.4273946742413,-73.8872557173005,3
BUR1B,0,Baie-d'Urfé,45.4199073950824,-73.9155583909618,3
SAB1B,0,Sainte-Anne-de-Bellevue,45.4076060412765,-73.9512126079595,3
LIP1B,0,Île-Perrot,45.3959228309534,-73.9654246607855,4
TVA1B,0,Pincourt / Terrasse-Vaudreuil,45.3871716083424,-73.9922728170067,4
VAU1B,0,Dorion,45.3863907208218,-74.0082543463005,5
DMO2C,0,Deux-Montagnes,45.5459573384475,-73.9132333393944,5
DMO3C,0,Grand-Moulin,45.5376121850531,-73.8886389812954,5
LVL2C,0,Sainte-Dorothée,45.5234974324605,-73.8628881880326,3
LVL3C,0,Île-Bigras,45.5193470266457,-73.8520708934612,3
ROX1D,0,Roxboro-Pierrefonds,45.5090871224706,-73.8091338677806,2
