route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
1,0102030405,1_10_1,Direction Montréal,0,1_10
1,0102030405,1_3_1,Direction Beaconsfield,1,1_3
1,0102030405,1_5_1,Direction Vaudreuil,1,1_5
1,0102030405,1_9_1,Direction Vaudreuil,1,1_9
1,0102030405,1_10_2,Direction Montréal,0,1_10
1,0102030405,1_9_2,Direction Vaudreuil,1,1_9
1,0102030405,1_10_3,Direction Montréal,0,1_10
1,0102030405,1_9_3,Direction Vaudreuil,1,1_9
1,0102030405,1_10_4,Direction Montréal,0,1_10
1,0102030405,1_4_4,Direction Montréal,0,1_4
1,0102030405,1_9_4,Direction Vaudreuil,1,1_9
1,0102030405,1_10_5,Direction Montréal,0,1_10
1,0102030405,1_9_5,Direction Vaudreuil,1,1_9
1,0102030405,1_10_6,Direction Montréal,0,1_10
1,0102030405,1_9_6,Direction Vaudreuil,1,1_9
1,0102030405,1_10_7,Direction Montréal,0,1_10
1,0102030405,1_9_7,Direction Vaudreuil,1,1_9
1,0102030405,1_10_8,Direction Montréal,0,1_10
1,0102030405,1_6_8,Direction Montréal,0,1_6
1,0102030405,1_9_8,Direction Vaudreuil,1,1_9
1,0102030405,1_10_9,Direction Montréal,0,1_10
1,0102030405,1_7_9,Direction Hudson,1,1_7
1,0102030405,1_9_9,Direction Vaudreuil,1,1_9
1,0102030405,1_10_10,Direction Montréal,0,1_10
1,0102030405,1_9_10,Direction Vaudreuil,1,1_9
1,0102030405,1_8_11,Direction Montréal,0,1_8
1,0102030405,1_9_11,Direction Vaudreuil,1,1_9
1,06,1_10_11,Direction Montréal,0,1_10
1,06,1_10_12,Direction Montréal,0,1_10
1,06,1_9_12,Direction Vaudreuil,1,1_9
1,06,1_10_13,Direction Montréal,0,1_10
1,06,1_9_13,Direction Vaudreuil,1,1_9
1,06,1_10_14,Direction Montréal,0,1_10
1,06,1_9_14,Direction Vaudreuil,1,1_9
1,06,1_9_15,Direction Vaudreuil,1,1_9
1,07,1_10_15,Direction Montréal,0,1_10
1,07,1_10_16,Direction Montréal,0,1_10
1,07,1_9_16,Direction Vaudreuil,1,1_9
1,07,1_10_17,Direction Montréal,0,1_10
1,07,1_9_17,Direction Vaudreuil,1,1_9
1,07,1_9_18,Direction Vaudreuil,1,1_9
2,0102030405,2_1_1,Direction Deux-Montagnes,1,2_1
2,0102030405,2_6_1,Direction Montréal,0,2_6
2,0102030405,2_2_2,Direction Montréal,0,2_2
2,0102030405,2_1_3,Direction Deux-Montagnes,1,2_1
2,0102030405,2_2_3,Direction Montréal,0,2_2
2,0102030405,2_1_4,Direction Deux-Montagnes,1,2_1
2,0102030405,2_2_4,Direction Montréal,0,2_2
2,0102030405,2_1_5,Direction Deux-Montagnes,1,2_1
2,0102030405,2_2_5,Direction Montréal,0,2_2
2,0102030405,2_1_6,Direction Deux-Montagnes,1,2_1
2,0102030405,2_2_6,Direction Montréal,0,2_2
2,0102030405,2_4_6,Direction Montréal,0,2_4
2,0102030405,2_1_7,Direction Deux-Montagnes,1,2_1
2,0102030405,2_4_7,Direction Montréal,0,2_4
2,0102030405,2_1_8,Direction Deux-Montagnes,1,2_1
2,0102030405,2_2_8,Direction Montréal,0,2_2
2,0102030405,2_1_9,Direction Deux-Montagnes,1,2_1
2,0102030405,2_2_9,Direction Montréal,0,2_2
