shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1_10,45.3989996709264,-74.0505567791293,1
1_10,45.3861752577178,-74.0221080447962,2
1_10,45.3857978287874,-74.0200230471652,3
1_10,45.3863907208218,-74.0082543463005,4
1_10,45.3870348178136,-73.9947746199046,5
1_10,45.3873250808923,-73.9900648658634,6
1_10,45.3880034867826,-73.9850263505148,7
1_10,45.3890116539696,-73.980692899987,8
1_10,45.3909258680365,-73.9748343586701,9
1_10,45.3934686146473,-73.9692360571231,10
1_10,45.3959228309534,-73.9654246607855,11
1_10,45.3980041662096,-73.9625550884482,12
1_10,45.401727690001,-73.9585617668454,13
1_10,45.4057484751933,-73.9544553355197,14
1_10,45.4067075732295,-73.9531344480273,15
1_10,45.4076060412765,-73.9512126079595,16
1_10,45.4090312947779,-73.9457433463724,17
1_10,45.4162254785036,-73.9257401551353,18
1_10,45.4199073950824,-73.9155583909618,19
1_10,45.4244980918277,-73.9025960306329,20
1_10,45.4255846592172,-73.8981055300739,21
1_10,45.4273946742413,-73.8872557173005,22
1_10,45.4316673516423,-73.8602543525269,23
1_10,45.4349736654937,-73.847391976023,24
1_10,45.4404595797778,-73.8271399679248,25
1_10,45.442414831553,-73.8198778299671,26
1_10,45.4437147127574,-73.8151681984421,27
1_10,45.4472468978668,-73.8034394320935,28
1_10,45.4486558862315,-73.7980392478731,29
1_10,45.4494688562197,-73.7933644257034,30
1_10,45.4497451835371,-73.7908728809287,31
1_10,45.4499407936433,-73.7882530550694,32
1_10,45.4495938997837,-73.7642548484703,33
1_10,45.4491999376701,-73.7431076525197,34
1_10,45.4486782577965,-73.7113237489741,35
1_10,45.4486231578361,-73.7070152529351,36
1_10,45.4497758736829,-73.6910004856016,37
1_10,45.4530383149763,-73.6708108164136,38
1_10,45.4530791938149,-73.6675123451849,39
1_10,45.4510226262196,-73.6517042619738,40
1_10,45.4508920318681,-73.6483670905082,41
1_10,45.4518679260335,-73.6452117600281,42
1_10,45.4536719903492,-73.6417387653488,43
1_10,45.4737620423281,-73.6030995911778,44
1_10,45.4752401376654,-73.6004674928162,45
1_10,45.4789352670017,-73.5936947784585,46
1_10,45.4867731962734,-73.5816185093149,47
1_10,45.4895385185912,-73.5776053454072,48
1_10,45.4947620353203,-73.570805750666,49
1_3,45.4947620353203,-73.570805750666,1
1_3,45.4895385185912,-73.5776053454072,2
1_3,45.4867731962734,-73.5816185093149,3
1_3,45.4789352670017,-73.5936947784585,4
